Reach,River Sta,Profile,Q Total,Min Ch El,Hydr Radius L,Hydr Radius C,Hydr Radius R,Top W Act Left,Top W Act Chan,Top W Act Right,Vel Left,Vel Chnl,Vel Right,Froude # Chl,Frctn Slope
,,,(m3/s),(m),(m),(m),(m),(m),(m),(m),(m/s),(m/s),(m/s), ,(m/m)
unique,500,Qmoy,0.5,440.76,0.02,0.21,0.04,0,2.91,0,0,0.75,0,0.5,0.003741
unique,500,HQ 2.33,12,440.76,0.64,1.12,0.56,7.05,3.4,9.83,0.6,1.45,0.55,0.41,0.001789
unique,500,HQ 5,17,440.76,0.79,1.31,0.73,7.58,3.4,10.36,0.68,1.57,0.64,0.41,0.001712
unique,500,HQ 10,21,440.76,0.9,1.44,0.85,7.95,3.4,10.73,0.73,1.66,0.7,0.41,0.001666
unique,500,EHQ,25,440.76,1.01,1.57,0.98,8.12,3.4,10.78,0.77,1.71,0.75,0.41,0.00159
,,,,,,,,,,,,,,,
unique,700,Qmoy,0.5,440.48,0.02,0.28,0.04,0,2.96,0,0,0.55,0,0.32,0.002481
unique,700,HQ 2.33,12,440.48,0.64,1.14,0.45,11.7,3.65,4.09,0.53,1.54,0.41,0.44,0.002373
unique,700,HQ 5,17,440.48,0.81,1.34,0.55,12.38,3.65,5.07,0.62,1.72,0.48,0.45,0.002387
unique,700,HQ 10,21,440.48,0.93,1.47,0.63,12.85,3.65,5.78,0.67,1.82,0.51,0.45,0.002358
unique,700,EHQ,25,440.48,1.07,1.62,0.72,12.85,3.65,6.31,0.71,1.88,0.55,0.45,0.002194
,,,,,,,,,,,,,,,
unique,1000,Qmoy,0.5,439.66,0.02,0.26,0.04,0,2.74,0,0,0.65,0,0.39,0.003113
unique,1000,HQ 2.33,12,439.66,0.3,0.92,0.53,2.12,8.98,7.97,0.26,1.09,0.38,0.34,0.001541
unique,1000,HQ 5,17,439.66,0.42,1.13,0.71,2.9,8.98,8.71,0.31,1.19,0.44,0.34,0.001441
unique,1000,HQ 10,21,439.66,0.53,1.3,0.88,3.39,8.98,8.8,0.34,1.24,0.48,0.33,0.001307
unique,1000,EHQ,25,439.66,0.69,1.49,1.06,3.39,8.98,8.8,0.38,1.25,0.5,0.31,0.00112
,,,,,,,,,,,,,,,
unique,1700,Qmoy,0.5,438.65,0.02,0.34,0.04,0,2.32,0,0,0.54,0,0.27,0.001126
unique,1700,HQ 2.33,12,438.65,0.58,1.31,0.68,9.7,3.09,5.89,0.31,1.76,0.34,0.44,0.001784
unique,1700,HQ 5,17,438.65,0.89,1.64,0.95,10.9,3.09,6.71,0.35,1.76,0.37,0.39,0.001337
unique,1700,HQ 10,21,438.65,1.17,1.9,1.2,10.94,3.09,6.71,0.38,1.73,0.38,0.36,0.00108
unique,1700,EHQ,25,438.65,1.44,2.16,1.43,10.94,3.09,6.71,0.39,1.71,0.39,0.33,0.000901
